URL_name,Issue_date,Expire_Date,Expire_Month,Expire_Year,Common_name
https://api.iod-vct-qa.volvocars.net:6443,2024-05-23,2025-06-23,06,2025,api.iod-vct-qa.volvocars.net
https://api.iod-vct.volvocars.net:6443,2024-05-23,2025-06-23,06,2025,api.iod-vct.volvocars.net
https://api.iod-vccd-qa.volvocars.net:6443,2024-05-07,2025-06-07,06,2025,api.iod-vccd-qa.volvocars.net
https://api.iod-vccd.volvocars.net:6443,2024-05-23,2025-06-23,06,2025,api.iod-vccd.volvocars.net
https://api.iod-vcg-qa.volvocars.net:6443,2024-08-06,2025-09-06,09,2025,api.iod-vcg-qa.volvocars.net
https://api.iod-vcg.volvocars.net:6443,2024-08-09,2025-09-09,09,2025,api.iod-vcg.volvocars.net
https://api.iod-vcdq-qa.volvocars.net:6443,2024-08-09,2025-09-09,09,2025,api.iod-vcdq-qa.volvocars.net
https://api.iod-vcdq.volvocars.net:6443,2024-08-09,2025-09-09,09,2025,api.iod-vcdq.volvocars.net
https://api.sandbox-net.sandbox.volvocars.net:6443,ERROR,ERROR,ERROR,ERROR,ERROR
https://api.iod-vclq-qa.volvocars.net:6443,2024-10-01,2025-10-01,10,2025,api.iod-vclq-qa.volvocars.net
https://api.iod-vclq.volvocars.net:6443,2024-10-04,2025-10-04,10,2025,api.iod-vclq.volvocars.net
https://api.iod-vcch-qa.volvocars.net:6443,2024-10-18,2025-10-18,10,2025,api.iod-vcch-qa.volvocars.net
https://api.iod-vcch.volvocars.net:6443,2024-10-18,2025-10-18,10,2025,api.iod-vcch.volvocars.net
https://api.pie-nonprod.volvocars.biz:6443,2024-12-11,2025-12-11,12,2025,api.pie-nonprod.volvocars.biz
https://api.pie-prod.volvocars.biz:6443,2025-02-27,2026-02-27,02,2026,api.pie-prod.volvocars.biz
https://api.ocp-shared-v1-nonprod.volvocars.biz:6443,2025-03-20,2026-03-20,03,2026,api.ocp-shared-v1-nonprod.volvocars.biz
https://api.ocp-shared-v1-prod.volvocars.biz:6443,2025-04-08,2026-04-08,04,2026,api.ocp-shared-v1-prod.volvocars.biz
https://api.carservice-nonprod.volvocars.biz:6443,2024-08-08,2025-09-08,09,2025,api.carservice-nonprod.volvocars.biz
https://api.carservice-prod.volvocars.biz:6443,2024-08-08,2025-09-08,09,2025,api.carservice-prod.volvocars.biz
https://api.iod-vcpc-qa.volvocars.net:6443,ERROR,ERROR,ERROR,ERROR,ERROR
https://api.iod-vcpc.volvocars.net:6443,ERROR,ERROR,ERROR,ERROR,ERROR
https://api.iod-vcbc.volvocars.net:6443,2024-05-23,2025-06-23,06,2025,api.iod-vcbc.volvocars.net
https://api.iod-vcbc-qa.volvocars.net:6443,2025-03-24,2026-03-24,03,2026,api.iod-vcbc-qa.volvocars.net
https://api.iod-vcfl.volvocars.net:6443,2024-11-23,2025-11-23,11,2025,api.iod-vcfl.volvocars.net
https://api.iod-vcfl-qa.volvocars.net:6443,2024-11-23,2025-11-23,11,2025,api.iod-vcfl-qa.volvocars.net
https://api.iod-vcfl-prod.volvocars.net:6443,ERROR,ERROR,ERROR,ERROR,ERROR
https://api.iod-vcfl-nonprod.volvocars.net:6443,2025-05-02,2026-05-02,05,2026,*.apps.iod-vcfl-nonprod.volvocars.net
https://api.iod-vct-product.volvocars.net:6443,2025-02-03,2026-02-03,02,2026,api.iod-vct-product.volvocars.net
https://api.iod-vct-product-qa.volvocars.net:6443,2024-09-23,2025-09-22,09,2025,api.iod-vct-product-qa.volvocars.net
https://api.shared-azureocp-nonprod.volvocars.biz:6443,2025-02-03,2026-02-03,02,2026,api.shared-azureocp-nonprod.volvocars.biz
https://api.shared-azureocp-prod.volvocars.biz:6443,2025-04-14,2026-04-14,04,2026,api.shared-azureocp-prod.volvocars.biz
https://api.ocplus-prod.ocp-mgmt.volvocars.net:6443,2025-03-26,2026-03-26,03,2026,api.ocplus-prod.ocp-mgmt.volvocars.net
https://api.mq-azureocp-nonprod.volvocars.net,ERROR,ERROR,ERROR,ERROR,ERROR
https://api.mq-azureocp-prod.volvocars.net,ERROR,ERROR,ERROR,ERROR,ERROR
https://api.iod-jiading-prod.volvocars.net:6443,2024-07-15,2025-07-22,07,2025,api.iod-jiading-prod.volvocars.net
https://api.iod-jiading-qa.volvocars.net:6443,2024-05-07,2025-06-06,06,2025,api.iod-jiading-qa.volvocars.net
https://api.maximo-nonprod.volvocars.net:6443,2024-05-13,2025-06-13,06,2025,api.maximo-nonprod.volvocars.net
https://api.maximo-prod.volvocars.net:6443,2024-08-12,2025-08-11,08,2025,api.maximo-prod.volvocars.net
https://api.maximo-training.volvocars.net:6443,ERROR,ERROR,ERROR,ERROR,ERROR
https://api.maximo-qa.volvocars.net:6443,2024-11-23,2025-11-23,11,2025,api.maximo-qa.volvocars.net
https://api.maximo-dev.volvocars.net:6443,2024-10-16,2025-10-16,10,2025,api.maximo-dev.volvocars.net
https://api.iod-sandbox.volvocars.net:6443,2025-05-14,2026-05-14,05,2026,*.apps.iod-sandbox.volvocars.net
https://api.cil-azureocp-nonprod.volvocars.biz:6443,2024-08-12,2025-08-11,08,2025,api.cil-azureocp-nonprod.volvocars.biz
https://api.cil-azureocp-prod.volvocars.biz:6443,2025-04-02,2026-04-02,04,2026,*.apps.cil-azureocp-prod.volvocars.biz
