Cluster Name,Platform,Site/Region,Environments,Compute Subnet,Ingress IP,Console URL,API URL,Vault Auth Backend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCT-NON PROD_VANILLA (Torslanda),Onprem,Torslanda,Non Prod,10.120.44.0/23,10.121.97.133,https://console-openshift-console.apps.iod-vct-qa.volvocars.net/,Api : https://api.iod-vct-qa.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCT-PROD_VANILLA (Torslanda)_,Onprem,Torslanda,Prod,10.120.44.0/23,10.120.98.217,https://console-openshift-console.apps.iod-vct.volvocars.net/,Api : https://api.iod-vct.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCCD-NON PROD _VANILLA (Chengdu),Onprem,Chengdu,Non Prod,10.234.5.0/24,10.239.0.26,https://console-openshift-console.apps.iod-vccd-qa.volvocars.net/,Api : https://api.iod-vccd-qa.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCCD-PROD_VANILLA (Chengdu),Onprem,Chengdu,Prod,10.234.5.0/24,10.239.0.28,https://console-openshift-console.apps.iod-vccd.volvocars.net/,Api : https://api.iod-vccd.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCG-NON PROD_VANILLA (Ghent),Onprem,Ghent,Non Prod,10.249.1.64/26,10.249.4.23,https://console-openshift-console.apps.iod-vcg-qa.volvocars.net/,https://api.iod-vcg-qa.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCG-PROD_VANILLA (Ghent),Onprem,Ghent,Prod,10.249.1.64/26,10.249.4.25,https://console-openshift-console.apps.iod-vcg.volvocars.net/,https://api.iod-vcg.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCDQ-NON PROD_VANILLA (Daqing),Onprem,Daqing,Non Prod,10.240.66.64/26,10.240.69.21,https://console-openshift-console.apps.iod-vcdq-qa.volvocars.net,https://api.iod-vcdq-qa.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCDQ-PROD_VANILLA (Daqing),Onprem,Daqing,Prod,10.240.66.0/26,10.240.69.23,https://console-openshift-console.apps.iod-vcdq.volvocars.net,https://api.iod-vcdq.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCLQ-NON PROD_VANILLA (Luqiao),Onprem,Luqiao,Non Prod,10.235.2.0/24,10.235.7.21,https://console-openshift-console.apps.iod-vclq-qa.volvocars.net/,https://api.iod-vclq-qa.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCLQ-PROD_VANILLA (Luqiao),Onprem,Luqiao,Prod,10.235.2.0/24,10.235.7.20,https://console-openshift-console.apps.iod-vclq.volvocars.net/,https://api.iod-vclq.volvocars.net:6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
